ID,ZLECENIE_ID,ADRESAT_ID,RODZAJ_PRZESYLKI,WYMIAR_X,WYMIAR_Y,WYMIAR_Z,WAGA,DATA_NADANIA
1,1,16030,paleta,62,85,60,165987,2021-07-12
2,2,3629,list,38,25,6,523,2021-02-19
3,3,12885,list,34,14,8,801,2021-02-15
4,4,2751,list,12,15,17,608,2021-01-24
5,5,10400,list,45,28,10,527,2021-02-11
6,6,2127,paleta,96,88,55,176356,2021-06-20
7,7,15422,paczka,23,41,49,3610,2021-03-04
8,7,12267,paleta,56,51,52,111860,2021-03-04
9,7,19318,list,44,13,8,272,2021-03-04
10,8,19345,paczka,22,20,94,37044,2021-05-09
11,8,8645,paleta,90,74,70,49716,2021-05-09
12,8,10707,paleta,83,54,36,161014,2021-05-09
13,9,4674,paczka,20,75,10,28109,2021-01-31
14,10,8122,paczka,41,78,85,18608,2021-09-22
15,10,11864,list,5,9,9,555,2021-09-22
16,11,5884,paleta,53,87,72,37250,2021-10-27
17,12,11237,list,46,37,3,455,2021-02-25
18,12,1511,paczka,64,98,3,22928,2021-02-25
19,13,7427,paleta,50,56,21,75051,2021-01-18
20,14,9644,list,19,20,17,814,2021-08-20
21,15,1267,list,18,46,18,259,2021-07-29
22,16,14316,paleta,38,20,47,183955,2021-06-15
23,17,4945,paczka,74,99,94,29953,2021-08-02
24,18,1786,paczka,92,8,25,21914,2021-08-31
25,19,17722,list,44,32,15,813,2021-02-04
26,19,13255,paczka,85,33,16,18756,2021-02-04
27,19,15644,list,15,6,11,612,2021-02-04
28,19,13102,paczka,25,97,78,32408,2021-02-04
29,20,7809,list,8,38,19,664,2021-06-25
30,20,16571,paczka,88,93,12,28946,2021-06-25
31,21,173,list,25,49,14,772,2021-09-17
32,22,16189,paleta,67,91,29,158223,2021-08-18
33,23,5693,paczka,56,93,76,42598,2021-02-27
34,24,19869,list,41,25,6,86,2021-08-03
35,25,17681,paczka,48,39,87,35819,2021-02-26
36,25,1406,paczka,43,20,57,20761,2021-02-26
37,25,7395,list,24,49,1,566,2021-02-26
38,25,4773,paczka,63,59,33,1354,2021-02-26
39,26,717,list,47,9,2,259,2021-06-02
40,27,1243,list,37,29,9,982,2021-10-08
41,27,15382,paleta,56,26,29,65012,2021-10-08
42,27,1763,list,5,31,12,114,2021-10-08
43,28,3515,list,32,20,9,786,2021-06-23
44,28,19160,list,38,22,3,991,2021-06-23
45,29,8986,paleta,50,97,48,191612,2021-08-17
46,30,6381,list,48,29,1,453,2021-05-30
47,30,19915,paleta,94,93,87,176841,2021-05-30
48,30,16659,list,42,29,2,523,2021-05-30
49,30,13956,list,36,37,18,825,2021-05-30
50,31,19891,paczka,11,50,33,19177,2021-01-09
51,32,9876,list,16,40,6,786,2021-03-22
52,33,18144,paczka,45,18,62,18524,2021-04-25
53,33,8747,paleta,45,88,46,113647,2021-04-25
54,34,14167,paleta,36,32,63,65916,2021-08-09
55,34,6828,paleta,70,93,69,57640,2021-08-09
56,34,17808,list,23,29,4,447,2021-08-09
57,34,13050,list,49,11,10,242,2021-08-09
58,35,2833,list,28,19,8,684,2021-08-12
59,36,6000,paczka,59,95,2,31416,2021-10-18
60,36,1663,list,5,19,18,202,2021-10-18
61,37,14523,paleta,84,48,90,38857,2021-09-15
62,38,15715,paczka,42,34,64,48055,2021-09-03
63,39,19311,paleta,20,82,75,88798,2021-08-12
64,39,4958,list,23,48,5,152,2021-08-12
65,39,12943,list,32,11,9,78,2021-08-12
66,40,7700,paleta,95,71,33,141940,2021-10-14
67,41,9838,paczka,6,67,10,14739,2021-02-06
68,41,13437,list,42,12,2,674,2021-02-06
69,41,12414,list,39,36,13,885,2021-02-06
70,42,9243,paleta,69,45,21,174595,2021-10-06
71,42,1720,paleta,28,93,73,86236,2021-10-06
72,43,1376,paczka,76,28,63,28187,2021-02-05
73,43,16543,list,36,42,5,371,2021-02-05
74,44,3337,paleta,88,82,51,51803,2021-08-04
75,45,18510,paleta,73,57,62,45923,2021-04-21
76,45,18026,paleta,53,47,31,132418,2021-04-21
77,45,16559,paleta,74,86,26,187822,2021-04-21
78,45,8340,list,9,34,9,995,2021-04-21
79,46,7031,paleta,97,72,28,26656,2021-06-14
80,47,2404,paleta,28,21,76,154386,2021-08-17
81,48,3593,paczka,6,41,56,30623,2021-09-01
82,48,2635,paleta,94,30,29,71898,2021-09-01
83,49,5098,paleta,42,62,92,152148,2021-01-22
84,50,2807,paczka,20,35,53,40090,2021-01-26
85,51,16367,list,16,48,15,94,2021-07-06
86,52,15842,list,49,20,6,349,2021-05-09
87,53,19767,list,38,30,19,190,2021-08-23
88,54,10458,paczka,53,60,89,21369,2021-04-17
89,55,2699,list,36,13,3,888,2021-09-05
90,55,12415,paleta,55,96,65,32461,2021-09-05
91,55,14593,list,42,45,11,645,2021-09-05
92,55,19396,paczka,50,81,74,5478,2021-09-05
93,56,13172,paczka,45,64,98,49162,2021-03-04
94,56,18617,list,28,6,19,960,2021-03-04
95,56,11619,paczka,88,46,71,17890,2021-03-04
96,57,9589,list,40,14,14,103,2021-10-20
97,58,12365,paleta,50,26,71,180950,2021-02-20
98,59,3638,list,12,11,5,359,2021-07-25
99,60,3545,list,31,38,10,597,2021-10-21
100,60,1596,paleta,49,75,58,164347,2021-10-21
101,61,16580,list,6,32,19,613,2021-06-01
102,61,7728,paczka,10,71,94,41911,2021-06-01
103,61,11880,paleta,36,44,36,196227,2021-06-01
104,61,9309,paleta,43,71,80,57067,2021-06-01
105,62,4455,paczka,73,61,40,15238,2021-03-25
106,62,7331,paleta,59,85,62,43347,2021-03-25
107,62,11980,paczka,83,52,3,9030,2021-03-25
108,63,720,paleta,39,78,44,181151,2021-01-07
109,64,10395,paleta,81,36,82,152879,2021-02-07
110,64,9618,paczka,17,22,40,37892,2021-02-07
111,65,2121,paleta,44,81,95,63982,2021-01-17
112,65,15969,paleta,25,40,86,113681,2021-01-17
113,66,2938,paczka,40,53,97,30911,2021-05-03
114,66,6388,paczka,93,72,45,40653,2021-05-03
115,66,1156,paleta,77,32,85,98705,2021-05-03
116,67,18801,paczka,35,90,56,15246,2021-02-22
117,68,7239,list,43,36,8,292,2021-08-15
118,69,17338,list,19,30,2,848,2021-04-08
119,70,11748,paczka,52,16,38,24609,2021-03-15
120,71,13678,paczka,29,50,56,29084,2021-06-30
121,72,17732,list,29,46,16,157,2021-07-28
122,73,9142,paczka,6,52,25,27268,2021-09-05
123,73,11728,paleta,49,46,73,49500,2021-09-05
124,74,16068,list,47,28,6,965,2021-07-15
125,75,12829,paczka,25,94,88,35518,2021-09-03
126,75,1999,paleta,76,88,67,60131,2021-09-03
127,75,12481,paleta,59,52,96,49043,2021-09-03
128,75,12296,paczka,13,58,15,22355,2021-09-03
129,76,4744,list,41,25,15,554,2021-01-15
130,76,2531,paczka,12,45,69,7378,2021-01-15
131,76,6546,list,16,19,3,114,2021-01-15
132,77,3455,paczka,31,38,22,20531,2021-01-29
133,78,16066,paleta,43,80,65,140821,2021-04-14
134,79,16126,paleta,62,50,61,178633,2021-08-15
135,80,15983,paczka,28,62,2,43103,2021-09-25
136,81,4050,list,32,6,4,920,2021-09-05
137,82,17815,paczka,31,16,51,32838,2021-09-14
138,83,6690,list,42,19,19,998,2021-07-09
139,84,17507,list,5,21,13,238,2021-04-25
140,85,2114,paleta,92,34,81,157963,2021-02-13
141,86,2487,paczka,11,80,94,16444,2021-08-11
142,86,2018,paleta,40,71,75,54524,2021-08-11
143,86,2541,paczka,71,34,54,661,2021-08-11
144,87,857,list,41,32,18,209,2021-10-08
145,87,4248,list,6,21,15,323,2021-10-08
146,88,2608,paleta,83,36,79,106618,2021-07-09
147,89,15107,paleta,54,32,50,98379,2021-08-23
148,89,9785,paleta,85,28,65,179449,2021-08-23
149,89,10342,paczka,36,68,79,33737,2021-08-23
150,90,15146,list,11,30,14,277,2021-06-14
151,90,14754,paczka,89,20,7,13347,2021-06-14
152,90,7659,list,45,42,13,561,2021-06-14
153,90,7326,paczka,6,46,60,47811,2021-06-14
154,91,8572,paleta,28,35,39,184993,2021-06-02
155,91,11372,paleta,33,43,63,170858,2021-06-02
156,91,15819,list,30,24,9,67,2021-06-02
157,92,19671,paczka,78,79,31,13884,2021-03-19
158,93,9436,paczka,70,71,75,34802,2021-01-13
159,93,5274,paleta,37,69,88,199246,2021-01-13
160,94,19031,list,32,11,7,805,2021-03-21
161,95,12567,list,28,24,11,875,2021-08-19
162,95,2563,paleta,80,41,76,162198,2021-08-19
163,95,8985,paczka,69,49,70,17944,2021-08-19
164,96,14647,paleta,23,73,76,37077,2021-07-06
165,97,7657,list,6,22,19,270,2021-01-10
166,97,6161,list,45,25,5,505,2021-01-10
167,97,15658,list,20,23,6,516,2021-01-10
168,98,10894,paleta,74,69,61,49993,2021-03-15
169,99,4016,paczka,62,55,50,13732,2021-08-17
170,99,14043,list,7,8,1,23,2021-08-17
171,100,4370,paczka,16,96,47,15121,2021-05-31
172,101,18678,paleta,78,32,37,30660,2021-01-06
173,102,12844,paleta,64,71,45,144538,2021-06-12
174,103,18901,paczka,76,75,59,22642,2021-03-14
175,103,14613,paczka,45,24,50,15464,2021-03-14
176,104,8642,paczka,24,99,10,38739,2021-07-21
177,104,17197,paczka,22,47,89,16331,2021-07-21
178,104,16262,paleta,29,99,82,109429,2021-07-21
179,104,9897,paczka,53,83,72,47591,2021-07-21
180,105,17928,paleta,63,55,72,123031,2021-05-22
181,106,5930,paczka,8,92,55,24951,2021-06-26
182,107,7598,paczka,87,14,9,39403,2021-07-08
183,108,4666,paczka,41,42,36,40636,2021-08-13
184,109,17594,paleta,58,82,24,27831,2021-09-05
185,110,3660,paczka,70,40,7,9919,2021-09-10
186,111,19974,paczka,24,95,87,13815,2021-09-06
187,111,9518,paczka,23,66,33,44051,2021-09-06
188,112,1406,paleta,69,93,48,97757,2021-05-05
189,112,7003,paczka,39,23,64,26225,2021-05-05
190,113,7784,paczka,36,83,89,41636,2021-09-16
191,114,5109,list,9,13,19,3,2021-01-22
192,114,11847,paczka,65,19,21,14128,2021-01-22
193,115,16625,list,16,7,15,205,2021-01-24
194,116,12896,paleta,40,70,50,91702,2021-03-31
