ID,ZLECENIE_ID,DATA_WYSTAWIENIA,KWOTA
1,1,2021-03-07,14.99
2,2,2021-10-25,44.97
3,3,2021-09-30,14.99
4,4,2021-08-29,14.99
5,5,2021-04-02,14.99
6,6,2021-03-24,14.99
7,7,2021-08-17,14.99
8,8,2021-03-21,14.99
9,9,2021-04-12,14.99
10,10,2021-01-08,29.98
11,11,2021-07-03,14.99
12,12,2021-08-04,14.99
13,13,2021-01-24,14.99
14,14,2021-07-17,14.99
15,15,2021-01-12,14.99
16,16,2021-05-05,29.98
17,17,2021-06-05,14.99
18,18,2021-02-02,14.99
19,19,2021-03-27,44.97
20,20,2021-05-30,14.99
21,21,2021-07-03,59.96
22,22,2021-09-02,14.99
23,23,2021-02-14,59.96
24,24,2021-10-18,29.98
25,25,2021-06-02,14.99
26,26,2021-08-30,14.99
27,27,2021-08-17,14.99
28,28,2021-05-10,59.96
29,29,2021-09-14,14.99
30,30,2021-03-17,29.98
31,31,2021-08-03,29.98
32,32,2021-08-15,14.99
33,33,2021-09-27,44.97
34,34,2021-08-15,14.99
35,35,2021-09-09,14.99
36,36,2021-09-25,14.99
37,37,2021-06-05,14.99
38,38,2021-10-01,14.99
39,39,2021-03-17,14.99
40,40,2021-10-10,14.99
41,41,2021-01-22,14.99
42,42,2021-02-15,14.99
43,43,2021-03-30,44.97
44,44,2021-09-13,14.99
45,45,2021-07-22,14.99
46,46,2021-08-01,29.98
47,47,2021-03-18,14.99
48,48,2021-08-09,14.99
49,49,2021-04-22,14.99
50,50,2021-05-09,29.98
51,51,2021-06-06,14.99
52,52,2021-08-23,29.98
53,53,2021-09-04,29.98
54,54,2021-08-06,14.99
55,55,2021-06-05,29.98
56,56,2021-09-22,29.98
57,57,2021-01-11,14.99
58,58,2021-02-22,29.98
59,59,2021-02-06,29.98
60,60,2021-09-01,29.98
61,61,2021-01-02,14.99
62,62,2021-02-02,44.97
63,63,2021-08-20,29.98
64,64,2021-01-16,14.99
65,65,2021-07-31,59.96
66,66,2021-01-28,14.99
67,67,2021-10-24,14.99
68,68,2021-02-19,29.98
69,69,2021-01-30,14.99
70,70,2021-08-24,14.99
71,71,2021-10-27,14.99
72,72,2021-08-29,14.99
73,73,2021-06-06,14.99
74,74,2021-09-29,14.99
75,75,2021-07-11,14.99
76,76,2021-04-15,44.97
77,77,2021-03-20,14.99
78,78,2021-09-22,14.99
79,79,2021-04-05,59.96
80,80,2021-05-12,59.96
81,81,2021-02-01,14.99
82,82,2021-05-08,44.97
83,83,2021-10-12,14.99
84,84,2021-06-27,29.98
85,85,2021-10-04,59.96
86,86,2021-01-11,44.97
87,87,2021-08-27,59.96
88,88,2021-05-10,14.99
89,89,2021-09-02,14.99
90,90,2021-02-11,14.99
91,91,2021-04-28,14.99
92,92,2021-04-29,14.99
93,93,2021-10-22,14.99
94,94,2021-04-16,29.98
95,95,2021-06-19,14.99
96,96,2021-10-13,59.96
97,97,2021-06-24,59.96
98,98,2021-08-10,14.99
99,99,2021-10-27,59.96
100,100,2021-05-15,14.99
101,101,2021-09-16,14.99
102,102,2021-02-18,14.99
103,103,2021-05-10,44.97
104,104,2021-01-23,59.96
105,105,2021-07-08,14.99
106,106,2021-09-28,14.99
107,107,2021-07-04,59.96
108,108,2021-10-05,29.98
109,109,2021-02-08,14.99
110,110,2021-04-24,14.99
111,111,2021-01-10,59.96
112,112,2021-07-22,29.98
113,113,2021-01-20,59.96
114,114,2021-05-03,14.99
115,115,2021-07-21,29.98
116,116,2021-09-05,14.99
117,117,2021-07-07,44.97
118,118,2021-09-19,14.99
119,119,2021-03-09,44.97
120,120,2021-05-16,14.99
121,121,2021-10-29,14.99
122,122,2021-02-04,29.98
123,123,2021-01-11,14.99
124,124,2021-10-11,14.99
125,125,2021-03-15,14.99
126,126,2021-10-10,44.97
127,127,2021-10-21,59.96
128,128,2021-03-11,14.99
129,129,2021-04-28,14.99
130,130,2021-06-07,44.97
131,131,2021-10-15,14.99
132,132,2021-01-09,14.99
133,133,2021-06-08,59.96
134,134,2021-07-17,44.97
135,135,2021-04-12,14.99
136,136,2021-09-06,14.99
137,137,2021-01-30,44.97
138,138,2021-07-19,29.98
139,139,2021-10-13,14.99
140,140,2021-01-20,14.99
141,141,2021-06-29,59.96
142,142,2021-02-28,29.98
143,143,2021-02-01,44.97
144,144,2021-04-22,14.99
145,145,2021-03-16,14.99
146,146,2021-01-16,14.99
147,147,2021-10-02,29.98
148,148,2021-07-24,29.98
149,149,2021-10-03,59.96
150,150,2021-10-11,14.99
151,151,2021-03-04,14.99
152,152,2021-03-22,44.97
153,153,2021-09-04,14.99
154,154,2021-07-09,14.99
155,155,2021-04-11,14.99
156,156,2021-09-08,59.96
157,157,2021-08-07,29.98
158,158,2021-08-12,14.99
159,159,2021-09-20,14.99
160,160,2021-01-28,14.99
161,161,2021-03-08,14.99
162,162,2021-04-03,14.99
163,163,2021-06-20,14.99
164,164,2021-03-08,29.98
165,165,2021-09-04,14.99
166,166,2021-07-15,14.99
167,167,2021-03-01,14.99
168,168,2021-05-16,14.99
169,169,2021-05-08,59.96
170,170,2021-10-18,14.99
171,171,2021-03-01,14.99
172,172,2021-06-27,44.97
173,173,2021-10-05,14.99
174,174,2021-06-09,29.98
175,175,2021-01-16,14.99
176,176,2021-06-02,14.99
177,177,2021-07-14,14.99
178,178,2021-01-27,14.99
179,179,2021-07-06,14.99
180,180,2021-03-04,29.98
181,181,2021-02-08,14.99
182,182,2021-09-09,14.99
183,183,2021-03-09,14.99
184,184,2021-03-21,44.97
185,185,2021-09-01,14.99
186,186,2021-07-24,14.99
187,187,2021-06-17,29.98
188,188,2021-05-07,14.99
189,189,2021-05-29,14.99
190,190,2021-04-23,14.99
191,191,2021-01-26,59.96
192,192,2021-08-06,14.99
193,193,2021-04-04,29.98
194,194,2021-10-12,44.97
195,195,2021-03-27,14.99
196,196,2021-07-27,44.97
197,197,2021-09-07,59.96
198,198,2021-01-27,14.99
199,199,2021-07-07,14.99
200,200,2021-05-12,14.99
201,201,2021-09-02,14.99
202,202,2021-04-02,14.99
203,203,2021-10-09,14.99
204,204,2021-08-21,59.96
205,205,2021-08-01,14.99
206,206,2021-03-06,59.96
207,207,2021-01-26,14.99
208,208,2021-02-02,14.99
209,209,2021-10-06,59.96
210,210,2021-03-08,14.99
211,211,2021-07-21,14.99
212,212,2021-06-20,14.99
213,213,2021-02-03,14.99
214,214,2021-06-19,14.99
215,215,2021-08-29,14.99
216,216,2021-07-24,14.99
217,217,2021-08-03,14.99
218,218,2021-06-28,29.98
219,219,2021-03-20,44.97
220,220,2021-01-09,14.99
221,221,2021-04-11,44.97
222,222,2021-07-13,14.99
223,223,2021-01-25,59.96
224,224,2021-04-18,14.99
225,225,2021-09-15,14.99
226,226,2021-01-18,14.99
227,227,2021-06-08,44.97
228,228,2021-04-12,29.98
229,229,2021-02-05,14.99
230,230,2021-04-21,44.97
231,231,2021-02-27,14.99
232,232,2021-08-18,29.98
233,233,2021-09-29,44.97
234,234,2021-05-29,14.99
235,235,2021-05-11,14.99
236,236,2021-07-25,14.99
237,237,2021-07-06,14.99
238,238,2021-05-04,29.98
239,239,2021-02-04,14.99
240,240,2021-02-23,14.99
241,241,2021-09-14,14.99
242,242,2021-01-13,14.99
243,243,2021-05-21,29.98
244,244,2021-05-23,14.99
245,245,2021-10-17,14.99
246,246,2021-01-28,14.99
247,247,2021-02-10,59.96
248,248,2021-05-28,14.99
249,249,2021-02-22,14.99
250,250,2021-09-07,14.99
251,251,2021-05-03,14.99
252,252,2021-05-21,44.97
253,253,2021-06-26,14.99
254,254,2021-10-19,14.99
255,255,2021-03-11,14.99
256,256,2021-05-08,14.99
257,257,2021-06-08,14.99
258,258,2021-09-22,14.99
259,259,2021-01-19,44.97
260,260,2021-07-08,14.99
261,261,2021-08-19,29.98
262,262,2021-09-11,14.99
263,263,2021-05-23,14.99
264,264,2021-06-12,14.99
265,265,2021-06-10,14.99
266,266,2021-06-18,14.99
267,267,2021-03-02,14.99
268,268,2021-01-20,59.96
269,269,2021-10-30,14.99
270,270,2021-04-04,44.97
271,271,2021-09-21,14.99
272,272,2021-04-05,29.98
273,273,2021-05-24,44.97
274,274,2021-01-17,14.99
275,275,2021-03-22,29.98
276,276,2021-10-19,14.99
277,277,2021-07-24,29.98
278,278,2021-05-09,59.96
279,279,2021-07-25,14.99
280,280,2021-05-11,29.98
281,281,2021-02-14,14.99
282,282,2021-07-17,14.99
283,283,2021-07-03,29.98
284,284,2021-06-09,14.99
285,285,2021-07-14,44.97
286,286,2021-01-06,14.99
287,287,2021-04-23,14.99
288,288,2021-02-22,14.99
289,289,2021-05-10,14.99
290,290,2021-04-07,14.99
291,291,2021-03-16,14.99
292,292,2021-07-11,14.99
