ID,FAKTURA_ID,CZY_ZAPLACONO,DATA_ZAPLATY,TYP_PLATNOSCI
1,1,1,2021-03-07,gotówka
2,2,0,NULL,przelew
3,3,1,2021-09-30,przelew
4,4,1,2021-08-29,przelew
5,5,1,2021-04-02,gotówka
6,6,1,2021-03-24,przelew
7,7,1,2021-08-17,przelew
8,8,1,2021-03-21,gotówka
9,9,1,2021-04-12,przelew
10,10,1,2021-01-08,przelew
11,11,1,2021-07-03,przelew
12,12,1,2021-08-04,przelew
13,13,1,2021-01-24,przelew
14,14,1,2021-07-17,przelew
15,15,1,2021-01-12,gotówka
16,16,1,2021-05-05,przelew
17,17,1,2021-06-05,gotówka
18,18,1,2021-02-02,przelew
19,19,1,2021-03-27,przelew
20,20,1,2021-05-30,przelew
21,21,1,2021-07-03,gotówka
22,22,1,2021-09-02,przelew
23,23,1,2021-02-14,gotówka
24,24,1,2021-10-18,przelew
25,25,1,2021-06-02,przelew
26,26,1,2021-08-30,przelew
27,27,1,2021-08-17,przelew
28,28,1,2021-05-10,przelew
29,29,1,2021-09-14,przelew
30,30,1,2021-03-17,przelew
31,31,1,2021-08-03,przelew
32,32,1,2021-08-15,gotówka
33,33,1,2021-09-27,gotówka
34,34,1,2021-08-15,gotówka
35,35,1,2021-09-09,przelew
36,36,1,2021-09-25,gotówka
37,37,1,2021-06-05,gotówka
38,38,1,2021-10-01,gotówka
39,39,1,2021-03-17,gotówka
40,40,1,2021-10-10,gotówka
41,41,1,2021-01-22,gotówka
42,42,1,2021-02-15,gotówka
43,43,1,2021-03-30,przelew
44,44,1,2021-09-13,przelew
45,45,1,2021-07-22,przelew
46,46,1,2021-08-01,przelew
47,47,1,2021-03-18,przelew
48,48,1,2021-08-09,gotówka
49,49,1,2021-04-22,gotówka
50,50,1,2021-05-09,gotówka
51,51,1,2021-06-06,przelew
52,52,1,2021-08-23,przelew
53,53,1,2021-09-04,przelew
54,54,1,2021-08-06,przelew
55,55,1,2021-06-05,przelew
56,56,1,2021-09-22,przelew
57,57,1,2021-01-11,przelew
58,58,1,2021-02-22,gotówka
59,59,1,2021-02-06,przelew
60,60,1,2021-09-01,gotówka
61,61,1,2021-01-02,przelew
62,62,1,2021-02-02,przelew
63,63,1,2021-08-20,przelew
64,64,1,2021-01-16,przelew
65,65,1,2021-07-31,przelew
66,66,1,2021-01-28,gotówka
67,67,0,NULL,gotówka
68,68,1,2021-02-19,przelew
69,69,1,2021-01-30,gotówka
70,70,1,2021-08-24,przelew
71,71,1,2021-10-27,przelew
72,72,1,2021-08-29,przelew
73,73,1,2021-06-06,przelew
74,74,1,2021-09-29,przelew
75,75,1,2021-07-11,przelew
76,76,1,2021-04-15,gotówka
77,77,1,2021-03-20,przelew
78,78,1,2021-09-22,przelew
79,79,1,2021-04-05,gotówka
80,80,1,2021-05-12,przelew
81,81,1,2021-02-01,gotówka
82,82,1,2021-05-08,przelew
83,83,1,2021-10-12,przelew
84,84,1,2021-06-27,gotówka
85,85,1,2021-10-04,gotówka
86,86,1,2021-01-11,przelew
87,87,1,2021-08-27,przelew
88,88,1,2021-05-10,przelew
89,89,1,2021-09-02,przelew
90,90,1,2021-02-11,przelew
91,91,1,2021-04-28,przelew
92,92,1,2021-04-29,przelew
93,93,0,NULL,gotówka
94,94,1,2021-04-16,przelew
95,95,1,2021-06-19,przelew
96,96,1,2021-10-13,gotówka
97,97,1,2021-06-24,przelew
98,98,1,2021-08-10,gotówka
99,99,1,2021-10-27,przelew
100,100,1,2021-05-15,przelew
101,101,1,2021-09-16,przelew
102,102,1,2021-02-18,gotówka
103,103,1,2021-05-10,przelew
104,104,1,2021-01-23,przelew
105,105,1,2021-07-08,gotówka
106,106,1,2021-09-28,przelew
107,107,1,2021-07-04,przelew
108,108,1,2021-10-05,przelew
109,109,1,2021-02-08,gotówka
110,110,1,2021-04-24,przelew
111,111,1,2021-01-10,przelew
112,112,1,2021-07-22,przelew
113,113,1,2021-01-20,przelew
114,114,1,2021-05-03,przelew
115,115,1,2021-07-21,przelew
116,116,1,2021-09-05,gotówka
117,117,1,2021-07-07,przelew
118,118,1,2021-09-19,przelew
119,119,1,2021-03-09,przelew
120,120,1,2021-05-16,gotówka
