ID,PRZESYLKA_ID,DATA_DOSTARCZENIA
1,1,2021-09-10
2,2,2021-01-16
3,3,2021-03-22
4,4,2021-08-07
5,5,2021-04-22
6,6,2021-04-22
7,7,2021-04-23
8,8,2021-04-23
9,9,2021-08-17
10,10,2021-06-09
11,11,2021-02-10
12,12,2021-02-09
13,13,2021-02-09
14,14,2021-02-09
15,15,2021-03-01
16,16,2021-09-20
17,17,2021-04-14
18,18,2021-03-26
19,19,2021-07-25
20,20,2021-02-21
21,21,2021-08-27
22,22,2021-06-28
23,23,2021-04-16
24,24,2021-04-10
25,25,2021-04-10
26,26,2021-04-10
27,27,2021-04-10
28,28,2021-10-26
29,29,2021-10-26
30,30,2021-10-26
31,31,2021-10-26
32,32,2021-03-04
33,33,2021-10-02
34,34,2021-01-06
35,35,2021-03-09
36,36,2021-09-22
37,37,2021-01-10
38,38,2021-01-10
39,39,2021-01-10
40,40,2021-06-12
41,41,2021-06-12
42,42,2021-05-27
43,43,2021-04-17
44,44,2021-04-17
45,45,2021-04-16
46,46,2021-04-16
47,47,2021-06-16
48,48,2021-08-09
49,49,2021-05-02
50,50,2021-05-01
51,51,2021-05-02
52,52,2021-05-01
53,53,2021-06-15
54,54,2021-06-15
55,55,2021-06-14
56,56,2021-06-15
57,57,2021-08-25
58,58,2021-08-25
59,59,2021-02-25
60,60,2021-04-17
61,61,2021-08-15
62,62,2021-09-18
63,63,2021-09-17
64,64,2021-07-18
65,65,2021-08-23
66,66,2021-08-23
67,67,2021-08-23
68,68,2021-09-08
69,69,2021-02-19
70,70,2021-02-20
71,71,2021-02-19
72,72,2021-01-28
73,73,2021-10-27
74,74,2021-10-27
75,75,2021-10-26
76,76,2021-10-26
77,77,2021-08-22
78,78,2021-10-11
79,79,2021-05-28
80,80,2021-05-28
81,81,2021-03-25
82,82,2021-03-24
83,83,2021-03-25
84,84,2021-08-25
85,85,2021-08-28
86,86,2021-05-03
87,87,2021-05-02
88,88,2021-05-02
89,89,2021-10-11
90,90,2021-03-01
91,91,2021-06-08
92,92,2021-01-15
93,93,2021-02-09
94,94,2021-08-03
95,95,2021-08-04
96,96,2021-08-04
97,97,2021-08-04
98,98,2021-05-11
99,99,2021-01-20
100,100,2021-08-20
101,101,2021-08-20
102,102,2021-10-25
103,103,2021-10-24
104,104,2021-10-25
105,105,2021-10-25
106,106,2021-04-08
107,107,2021-05-13
108,108,2021-09-24
109,109,2021-09-26
110,110,2021-05-30
111,111,2021-07-19
112,112,2021-11-01
113,113,2021-08-14
114,114,2021-08-14
115,115,2021-10-01
116,116,2021-06-28
117,117,2021-06-28
118,118,2021-06-28
119,119,2021-08-08
120,120,2021-09-21
121,121,2021-09-21
122,122,2021-09-21
123,123,2021-03-15
124,124,2021-07-18
125,125,2021-10-28
126,126,2021-10-28
127,127,2021-10-29
128,128,2021-08-25
129,129,2021-08-26
130,130,2021-08-26
131,131,2021-09-23
132,132,2021-03-05
133,133,2021-03-06
134,134,2021-03-05
135,135,2021-09-18
136,136,2021-09-18
137,137,2021-09-17
138,138,2021-09-21
139,139,2021-08-15
140,140,2021-04-09
141,141,2021-06-11
142,142,2021-06-11
143,143,2021-06-12
144,144,2021-09-07
145,145,2021-04-26
146,146,2021-10-15
147,147,2021-07-10
148,148,2021-04-28
149,149,2021-05-31
150,150,2021-07-18
151,151,2021-04-25
152,152,2021-05-02
153,153,2021-05-02
154,154,2021-08-29
155,155,2021-07-05
156,156,2021-07-05
157,157,2021-10-04
158,158,2021-06-26
159,159,2021-02-20
160,160,2021-06-24
161,161,2021-07-10
162,162,2021-07-10
163,163,2021-07-09
164,164,2021-07-10
165,165,2021-06-01
166,166,2021-05-08
167,167,2021-04-12
168,168,2021-06-12
169,169,2021-06-11
170,170,2021-03-21
171,171,2021-05-15
172,172,2021-05-14
173,173,2021-01-16
174,174,2021-01-09
175,175,2021-01-09
176,176,2021-01-10
177,177,2021-02-24
178,178,2021-08-16
179,179,2021-08-15
180,180,2021-08-15
181,181,2021-05-04
182,182,2021-05-03
183,183,2021-05-04
184,184,2021-05-16
185,185,2021-05-17
186,186,2021-05-16
187,187,2021-07-31
188,188,2021-07-31
189,189,2021-07-31
190,190,2021-06-13
191,191,2021-06-12
192,192,2021-06-12
193,193,2021-03-27
194,194,2021-08-31
195,195,2021-02-25
196,196,2021-02-25
197,197,2021-02-27
198,198,2021-02-26
199,199,2021-02-27
200,200,2021-08-27
201,201,2021-08-27
202,202,2021-10-31
203,203,2021-02-28
204,204,2021-02-28
205,205,2021-02-28
206,206,2021-02-28
207,207,2021-03-09
208,208,2021-03-10
209,209,2021-04-03
210,210,2021-04-28
211,211,2021-08-04
212,212,2021-08-04
213,213,2021-08-26
214,214,2021-06-27
215,215,2021-08-09
216,216,2021-06-13
217,217,2021-04-19
218,218,2021-04-20
219,219,2021-10-05
220,220,2021-10-05
221,221,2021-10-06
222,222,2021-10-06
223,223,2021-08-25
224,224,2021-01-25
225,225,2021-08-04
226,226,2021-09-10
227,227,2021-07-19
228,228,2021-04-21
229,229,2021-03-29
230,230,2021-02-16
231,231,2021-06-07
232,232,2021-10-27
233,233,2021-06-03
234,234,2021-06-02
235,235,2021-06-03
236,236,2021-06-02
237,237,2021-07-31
238,238,2021-07-30
239,239,2021-07-31
240,240,2021-07-30
241,241,2021-05-28
242,242,2021-05-16
243,243,2021-04-23
244,244,2021-03-05
245,245,2021-03-05
246,246,2021-03-05
247,247,2021-08-26
248,248,2021-04-15
249,249,2021-04-15
250,250,2021-04-14
251,251,2021-03-21
252,252,2021-06-16
253,253,2021-10-30
254,254,2021-01-09
255,255,2021-08-03
256,256,2021-08-02
257,257,2021-09-07
258,258,2021-09-06
259,259,2021-06-19
260,260,2021-06-11
261,261,2021-06-11
262,262,2021-01-04
263,263,2021-07-09
264,264,2021-07-08
265,265,2021-07-09
266,266,2021-07-09
267,267,2021-07-09
268,268,2021-03-30
269,269,2021-03-17
270,270,2021-03-16
271,271,2021-03-17
272,272,2021-07-17
273,273,2021-07-17
274,274,2021-07-18
275,275,2021-07-18
276,276,2021-05-26
277,277,2021-05-27
278,278,2021-05-26
279,279,2021-02-17
280,280,2021-05-16
281,281,2021-10-03
282,282,2021-01-10
283,283,2021-10-16
284,284,2021-09-25
285,285,2021-10-12
286,286,2021-02-03
287,287,2021-05-07
288,288,2021-06-06
289,289,2021-06-19
290,290,2021-06-19
291,291,2021-05-12
292,292,2021-05-11
293,293,2021-05-12
294,294,2021-08-12
295,295,2021-06-11
296,296,2021-01-29
297,297,2021-03-04
298,298,2021-03-04
299,299,2021-03-05
300,300,2021-10-21
301,301,2021-10-22
302,302,2021-10-21
303,303,2021-05-13
304,304,2021-09-05
305,305,2021-10-23
306,306,2021-01-03
307,307,2021-06-08
308,308,2021-01-10
309,309,2021-10-07
310,310,2021-05-23
311,311,2021-02-03
312,312,2021-02-03
313,313,2021-10-16
314,314,2021-06-15
315,315,2021-05-27
316,316,2021-05-27
317,317,2021-05-27
318,318,2021-05-01
319,319,2021-04-30
320,320,2021-05-01
321,321,2021-04-30
322,322,2021-04-19
323,323,2021-04-20
324,324,2021-07-07
325,325,2021-03-16
326,326,2021-03-30
327,327,2021-06-08
328,328,2021-06-23
329,329,2021-06-24
330,330,2021-06-24
331,331,2021-02-08
332,332,2021-03-05
333,333,2021-06-08
334,334,2021-06-08
335,335,2021-06-07
336,336,2021-05-18
337,337,2021-05-19
338,338,2021-10-21
339,339,2021-09-03
340,340,2021-09-04
341,341,2021-05-04
342,342,2021-05-16
343,343,2021-05-27
344,344,2021-05-26
345,345,2021-05-26
346,346,2021-05-27
347,347,2021-06-12
348,348,2021-09-28
349,349,2021-09-28
350,350,2021-08-17
351,351,2021-10-01
352,352,2021-04-04
353,353,2021-04-03
354,354,2021-01-22
355,355,2021-09-25
356,356,2021-09-25
357,357,2021-09-15
358,358,2021-06-21
359,359,2021-06-20
360,360,2021-06-20
361,361,2021-04-29
362,362,2021-09-16
363,363,2021-10-09
364,364,2021-10-10
365,365,2021-10-09
366,366,2021-10-10
367,367,2021-04-16
368,368,2021-08-14
369,369,2021-02-27
370,370,2021-02-28
371,371,2021-02-27
372,372,2021-02-20
373,373,2021-11-01
