id,zlecenie_id,data_wystawienia,kwota
1,1,2021-07-12,14.99
2,2,2021-02-19,14.99
3,3,2021-02-15,14.99
4,4,2021-01-24,14.99
5,5,2021-02-11,14.99
6,6,2021-06-20,14.99
7,7,2021-03-04,44.97
8,8,2021-05-09,44.97
9,9,2021-01-31,14.99
10,10,2021-09-22,29.98
11,11,2021-10-27,14.99
12,12,2021-02-25,29.98
13,13,2021-01-18,14.99
14,14,2021-08-20,14.99
15,15,2021-07-29,14.99
16,16,2021-06-15,14.99
17,17,2021-08-02,14.99
18,18,2021-08-31,14.99
19,19,2021-02-04,59.96
20,20,2021-06-25,29.98
21,21,2021-09-17,14.99
22,22,2021-08-18,14.99
23,23,2021-02-27,14.99
24,24,2021-08-03,14.99
25,25,2021-02-26,59.96
26,26,2021-06-02,14.99
27,27,2021-10-08,44.97
28,28,2021-06-23,29.98
29,29,2021-08-17,14.99
30,30,2021-05-30,59.96
31,31,2021-01-09,14.99
32,32,2021-03-22,14.99
33,33,2021-04-25,29.98
34,34,2021-08-09,59.96
35,35,2021-08-12,14.99
36,36,2021-10-18,29.98
37,37,2021-09-15,14.99
38,38,2021-09-03,14.99
39,39,2021-08-12,44.97
40,40,2021-10-14,14.99
41,41,2021-02-06,44.97
42,42,2021-10-06,29.98
43,43,2021-02-05,29.98
44,44,2021-08-04,14.99
45,45,2021-04-21,59.96
46,46,2021-06-14,14.99
47,47,2021-08-17,14.99
48,48,2021-09-01,29.98
49,49,2021-01-22,14.99
50,50,2021-01-26,14.99
51,51,2021-07-06,14.99
52,52,2021-05-09,14.99
53,53,2021-08-23,14.99
54,54,2021-04-17,14.99
55,55,2021-09-05,59.96
56,56,2021-03-04,44.97
57,57,2021-10-20,14.99
58,58,2021-02-20,14.99
59,59,2021-07-25,14.99
60,60,2021-10-21,29.98
61,61,2021-06-01,59.96
62,62,2021-03-25,44.97
63,63,2021-01-07,14.99
64,64,2021-02-07,29.98
65,65,2021-01-17,29.98
66,66,2021-05-03,44.97
67,67,2021-02-22,14.99
68,68,2021-08-15,14.99
69,69,2021-04-08,14.99
70,70,2021-03-15,14.99
71,71,2021-06-30,14.99
72,72,2021-07-28,14.99
73,73,2021-09-05,29.98
74,74,2021-07-15,14.99
75,75,2021-09-03,59.96
76,76,2021-01-15,44.97
77,77,2021-01-29,14.99
78,78,2021-04-14,14.99
79,79,2021-08-15,14.99
80,80,2021-09-25,14.99
81,81,2021-09-05,14.99
82,82,2021-09-14,14.99
83,83,2021-07-09,14.99
84,84,2021-04-25,14.99
85,85,2021-02-13,14.99
86,86,2021-08-11,44.97
87,87,2021-10-08,29.98
88,88,2021-07-09,14.99
89,89,2021-08-23,44.97
90,90,2021-06-14,59.96
91,91,2021-06-02,44.97
92,92,2021-03-19,14.99
93,93,2021-01-13,29.98
94,94,2021-03-21,14.99
95,95,2021-08-19,44.97
96,96,2021-07-06,14.99
97,97,2021-01-10,44.97
98,98,2021-03-15,14.99
99,99,2021-08-17,29.98
100,100,2021-05-31,14.99
101,101,2021-01-06,14.99
102,102,2021-06-12,14.99
103,103,2021-03-14,29.98
104,104,2021-07-21,59.96
105,105,2021-05-22,14.99
106,106,2021-06-26,14.99
107,107,2021-07-08,14.99
108,108,2021-08-13,14.99
109,109,2021-09-05,14.99
110,110,2021-09-10,14.99
111,111,2021-09-06,29.98
112,112,2021-05-05,29.98
113,113,2021-09-16,14.99
114,114,2021-01-22,29.98
115,115,2021-01-24,14.99
116,116,2021-03-31,14.99
117,117,2021-03-06,14.99
118,118,2021-07-26,14.99
119,119,2021-07-28,14.99
120,120,2021-05-01,44.97
121,121,2021-05-06,14.99
122,122,2021-09-09,14.99
123,123,2021-02-01,44.97
124,124,2021-08-01,44.97
125,125,2021-06-28,14.99
126,126,2021-02-21,14.99
127,127,2021-06-05,44.97
128,128,2021-07-19,14.99
129,129,2021-02-21,14.99
130,130,2021-06-12,29.98
131,131,2021-04-08,14.99
132,132,2021-07-12,44.97
133,133,2021-10-07,14.99
134,134,2021-06-23,29.98
135,135,2021-02-07,14.99
136,136,2021-02-14,14.99
