id,faktura_id,czy_zaplacono,data_zaplaty,typ_platnosci
1,1,1,2021-07-12,gotówka
2,2,1,2021-02-19,przelew
3,3,1,2021-02-15,gotówka
4,4,1,2021-01-24,przelew
5,5,1,2021-02-11,przelew
6,6,1,2021-06-20,przelew
7,7,1,2021-03-04,przelew
8,8,1,2021-05-09,gotówka
9,9,1,2021-01-31,przelew
10,10,1,2021-09-22,przelew
11,11,0,NULL,przelew
12,12,1,2021-02-25,przelew
13,13,1,2021-01-18,przelew
14,14,1,2021-08-20,przelew
15,15,1,2021-07-29,przelew
16,16,1,2021-06-15,przelew
17,17,1,2021-08-02,przelew
18,18,1,2021-08-31,przelew
19,19,1,2021-02-04,przelew
20,20,1,2021-06-25,przelew
21,21,1,2021-09-17,gotówka
22,22,1,2021-08-18,przelew
23,23,1,2021-02-27,przelew
24,24,1,2021-08-03,przelew
25,25,1,2021-02-26,gotówka
26,26,1,2021-06-02,gotówka
27,27,1,2021-10-08,przelew
28,28,1,2021-06-23,przelew
29,29,1,2021-08-17,przelew
30,30,1,2021-05-30,przelew
31,31,1,2021-01-09,przelew
32,32,1,2021-03-22,przelew
33,33,1,2021-04-25,przelew
34,34,1,2021-08-09,przelew
35,35,1,2021-08-12,przelew
36,36,1,2021-10-18,przelew
37,37,1,2021-09-15,przelew
38,38,1,2021-09-03,przelew
39,39,1,2021-08-12,przelew
40,40,1,2021-10-14,przelew
41,41,1,2021-02-06,przelew
42,42,1,2021-10-06,przelew
43,43,1,2021-02-05,przelew
44,44,1,2021-08-04,gotówka
45,45,1,2021-04-21,gotówka
46,46,1,2021-06-14,przelew
47,47,1,2021-08-17,gotówka
48,48,1,2021-09-01,gotówka
49,49,1,2021-01-22,przelew
50,50,1,2021-01-26,gotówka
51,51,1,2021-07-06,przelew
52,52,1,2021-05-09,gotówka
53,53,1,2021-08-23,przelew
54,54,1,2021-04-17,gotówka
55,55,1,2021-09-05,gotówka
56,56,1,2021-03-04,przelew
57,57,1,2021-10-20,gotówka
58,58,1,2021-02-20,przelew
59,59,1,2021-07-25,przelew
60,60,0,NULL,przelew
61,61,1,2021-06-01,gotówka
62,62,1,2021-03-25,przelew
63,63,1,2021-01-07,przelew
64,64,1,2021-02-07,gotówka
65,65,1,2021-01-17,przelew
66,66,1,2021-05-03,gotówka
67,67,1,2021-02-22,gotówka
68,68,1,2021-08-15,przelew
69,69,1,2021-04-08,przelew
70,70,1,2021-03-15,przelew
71,71,1,2021-06-30,przelew
72,72,1,2021-07-28,gotówka
73,73,1,2021-09-05,przelew
74,74,1,2021-07-15,gotówka
75,75,1,2021-09-03,przelew
76,76,1,2021-01-15,przelew
77,77,1,2021-01-29,gotówka
78,78,1,2021-04-14,przelew
79,79,1,2021-08-15,przelew
80,80,1,2021-09-25,przelew
81,81,1,2021-09-05,gotówka
82,82,1,2021-09-14,przelew
83,83,1,2021-07-09,gotówka
84,84,1,2021-04-25,przelew
85,85,1,2021-02-13,przelew
86,86,1,2021-08-11,przelew
87,87,1,2021-10-08,przelew
88,88,1,2021-07-09,przelew
89,89,1,2021-08-23,przelew
90,90,1,2021-06-14,gotówka
91,91,1,2021-06-02,przelew
92,92,1,2021-03-19,przelew
93,93,1,2021-01-13,gotówka
94,94,1,2021-03-21,przelew
95,95,1,2021-08-19,przelew
96,96,1,2021-07-06,gotówka
97,97,1,2021-01-10,gotówka
98,98,1,2021-03-15,przelew
99,99,1,2021-08-17,przelew
100,100,1,2021-05-31,gotówka
101,101,1,2021-01-06,przelew
102,102,1,2021-06-12,gotówka
103,103,1,2021-03-14,przelew
104,104,1,2021-07-21,przelew
105,105,1,2021-05-22,przelew
106,106,1,2021-06-26,gotówka
107,107,1,2021-07-08,przelew
108,108,1,2021-08-13,gotówka
109,109,1,2021-09-05,przelew
110,110,1,2021-09-10,gotówka
111,111,1,2021-09-06,przelew
112,112,1,2021-05-05,przelew
113,113,1,2021-09-16,przelew
114,114,1,2021-01-22,przelew
115,115,1,2021-01-24,przelew
116,116,1,2021-03-31,gotówka
117,117,1,2021-03-06,przelew
118,118,1,2021-07-26,przelew
119,119,1,2021-07-28,przelew
120,120,1,2021-05-01,przelew
121,121,1,2021-05-06,przelew
122,122,1,2021-09-09,przelew
123,123,1,2021-02-01,przelew
124,124,1,2021-08-01,gotówka
125,125,1,2021-06-28,przelew
126,126,1,2021-02-21,gotówka
127,127,1,2021-06-05,przelew
128,128,1,2021-07-19,przelew
129,129,1,2021-02-21,gotówka
130,130,1,2021-06-12,gotówka
131,131,1,2021-04-08,przelew
132,132,1,2021-07-12,przelew
133,133,1,2021-10-07,przelew
134,134,1,2021-06-23,gotówka
135,135,1,2021-02-07,przelew
136,136,1,2021-02-14,przelew
137,137,1,2021-07-16,przelew
138,138,1,2021-06-26,przelew
139,139,1,2021-05-10,przelew
140,140,1,2021-01-06,gotówka
141,141,1,2021-08-02,przelew
142,142,1,2021-01-08,gotówka
143,143,1,2021-07-19,gotówka
144,144,1,2021-10-02,przelew
145,145,1,2021-08-30,przelew
146,146,1,2021-09-10,przelew
147,147,1,2021-05-27,gotówka
148,148,1,2021-08-13,przelew
149,149,1,2021-02-10,przelew
150,150,1,2021-03-01,przelew
151,151,1,2021-07-18,przelew
152,152,1,2021-05-02,przelew
153,153,1,2021-03-28,przelew
154,154,1,2021-04-30,gotówka
155,155,1,2021-01-06,gotówka
156,156,1,2021-09-22,przelew
157,157,1,2021-04-20,gotówka
158,158,1,2021-01-13,przelew
159,159,1,2021-02-13,przelew
160,160,1,2021-07-12,przelew
161,161,1,2021-09-14,przelew
162,162,1,2021-10-27,przelew
163,163,1,2021-09-10,przelew
164,164,1,2021-10-17,gotówka
165,165,1,2021-08-18,przelew
166,166,1,2021-01-09,gotówka
167,167,1,2021-07-07,gotówka
168,168,1,2021-06-19,przelew
169,169,1,2021-09-16,przelew
170,170,1,2021-04-14,przelew
171,171,1,2021-09-25,przelew
172,172,1,2021-08-01,gotówka
173,173,1,2021-01-13,przelew
174,174,1,2021-01-04,gotówka
175,175,1,2021-09-04,przelew
176,176,1,2021-04-10,gotówka
177,177,1,2021-01-18,przelew
178,178,1,2021-07-04,gotówka
179,179,1,2021-04-07,przelew
180,180,1,2021-08-12,przelew
181,181,1,2021-04-07,gotówka
182,182,1,2021-01-02,przelew
183,183,1,2021-08-09,gotówka
184,184,1,2021-10-14,przelew
185,185,0,NULL,gotówka
186,186,1,2021-03-15,gotówka
187,187,1,2021-04-17,gotówka
188,188,1,2021-05-14,gotówka
189,189,1,2021-01-09,przelew
190,190,1,2021-08-24,przelew
191,191,1,2021-10-20,przelew
192,192,1,2021-10-03,przelew
193,193,1,2021-04-10,gotówka
194,194,1,2021-05-28,gotówka
195,195,1,2021-02-18,przelew
196,196,1,2021-04-02,przelew
197,197,1,2021-07-25,przelew
198,198,1,2021-07-20,przelew
199,199,1,2021-10-01,przelew
200,200,1,2021-01-22,przelew
201,201,1,2021-03-18,gotówka
202,202,1,2021-02-12,przelew
203,203,1,2021-02-12,przelew
204,204,1,2021-04-29,przelew
205,205,1,2021-06-02,przelew
206,206,1,2021-02-22,przelew
207,207,1,2021-03-28,przelew
208,208,1,2021-09-06,przelew
209,209,1,2021-08-16,przelew
210,210,1,2021-05-08,przelew
211,211,1,2021-05-15,przelew
212,212,1,2021-07-14,przelew
213,213,1,2021-01-09,gotówka
214,214,1,2021-07-03,przelew
215,215,1,2021-10-17,przelew
216,216,1,2021-03-29,gotówka
217,217,1,2021-08-07,gotówka
218,218,1,2021-09-10,przelew
219,219,1,2021-08-06,przelew
220,220,1,2021-08-16,gotówka
221,221,1,2021-06-12,przelew
222,222,1,2021-03-22,przelew
223,223,1,2021-04-13,przelew
224,224,1,2021-08-16,przelew
225,225,1,2021-04-06,gotówka
226,226,1,2021-03-29,przelew
227,227,1,2021-01-03,przelew
228,228,1,2021-08-17,gotówka
229,229,1,2021-09-08,gotówka
230,230,1,2021-07-15,przelew
231,231,1,2021-10-16,przelew
232,232,1,2021-01-30,gotówka
233,233,1,2021-06-28,gotówka
234,234,1,2021-05-02,gotówka
235,235,1,2021-09-16,gotówka
236,236,0,NULL,przelew
237,237,1,2021-03-01,przelew
238,238,1,2021-08-02,przelew
239,239,1,2021-01-17,gotówka
240,240,1,2021-07-25,przelew
241,241,1,2021-04-23,przelew
242,242,1,2021-05-30,przelew
243,243,1,2021-02-02,gotówka
244,244,1,2021-06-11,gotówka
245,245,1,2021-10-18,gotówka
246,246,1,2021-04-04,przelew
247,247,1,2021-05-30,gotówka
248,248,1,2021-01-03,przelew
249,249,1,2021-07-10,przelew
250,250,1,2021-08-18,przelew
251,251,1,2021-09-22,gotówka
252,252,1,2021-10-05,gotówka
253,253,0,NULL,przelew
254,254,1,2021-05-26,przelew
255,255,1,2021-09-08,przelew
256,256,1,2021-10-18,gotówka
257,257,1,2021-07-05,przelew
258,258,1,2021-08-11,przelew
259,259,1,2021-08-29,przelew
260,260,1,2021-07-30,przelew
261,261,1,2021-10-03,przelew
262,262,1,2021-01-13,przelew
263,263,1,2021-01-17,przelew
264,264,1,2021-05-22,przelew
265,265,1,2021-09-28,przelew
266,266,1,2021-03-21,gotówka
267,267,1,2021-02-27,gotówka
268,268,1,2021-04-13,przelew
269,269,1,2021-06-26,gotówka
270,270,1,2021-02-11,przelew
271,271,1,2021-08-20,przelew
272,272,1,2021-07-15,przelew
273,273,1,2021-03-10,gotówka
274,274,1,2021-06-01,gotówka
275,275,1,2021-09-29,przelew
276,276,1,2021-08-14,gotówka
277,277,1,2021-04-23,gotówka
278,278,1,2021-05-06,przelew
279,279,1,2021-04-11,gotówka
280,280,1,2021-07-25,gotówka
281,281,1,2021-04-06,przelew
282,282,1,2021-08-20,przelew
283,283,1,2021-01-26,przelew
284,284,1,2021-05-16,przelew
285,285,1,2021-01-08,gotówka
286,286,1,2021-05-21,gotówka
287,287,1,2021-01-13,przelew
288,288,1,2021-05-09,przelew
289,289,1,2021-01-05,przelew
290,290,1,2021-08-16,przelew
291,291,1,2021-01-30,przelew
292,292,1,2021-08-26,przelew
293,293,1,2021-05-10,gotówka
294,294,1,2021-04-22,przelew
295,295,1,2021-08-17,przelew
296,296,1,2021-06-16,gotówka
297,297,1,2021-04-18,przelew
298,298,1,2021-01-10,przelew
299,299,1,2021-04-14,gotówka
300,300,1,2021-02-20,gotówka
301,301,1,2021-06-18,przelew
302,302,1,2021-03-09,przelew
303,303,1,2021-10-23,przelew
304,304,1,2021-05-18,przelew
305,305,0,NULL,przelew
306,306,1,2021-02-01,przelew
307,307,1,2021-07-18,przelew
308,308,1,2021-04-07,przelew
309,309,1,2021-08-04,gotówka
310,310,1,2021-10-09,gotówka
311,311,1,2021-07-30,gotówka
312,312,1,2021-07-28,przelew
313,313,1,2021-02-01,przelew
314,314,1,2021-04-15,przelew
315,315,1,2021-07-03,gotówka
316,316,1,2021-02-20,przelew
317,317,1,2021-06-17,przelew
318,318,1,2021-03-07,przelew
319,319,1,2021-10-22,przelew
320,320,1,2021-06-23,przelew
321,321,1,2021-02-18,gotówka
322,322,1,2021-08-02,przelew
323,323,1,2021-09-24,gotówka
324,324,1,2021-05-04,przelew
325,325,1,2021-09-15,przelew
326,326,1,2021-05-22,gotówka
327,327,1,2021-03-09,przelew
328,328,1,2021-07-06,przelew
329,329,1,2021-08-23,przelew
330,330,1,2021-01-10,przelew
331,331,1,2021-10-03,przelew
332,332,1,2021-10-11,gotówka
333,333,1,2021-09-16,przelew
334,334,1,2021-03-10,przelew
335,335,1,2021-04-22,przelew
336,336,1,2021-09-26,gotówka
337,337,1,2021-06-08,gotówka
338,338,1,2021-01-30,gotówka
339,339,1,2021-03-04,gotówka
340,340,0,NULL,przelew
341,341,1,2021-05-05,przelew
342,342,1,2021-06-14,przelew
343,343,1,2021-05-22,przelew
344,344,1,2021-10-08,przelew
345,345,1,2021-06-19,gotówka
346,346,1,2021-02-10,przelew
347,347,1,2021-06-21,przelew
348,348,1,2021-06-08,przelew
349,349,1,2021-02-23,przelew
350,350,1,2021-07-25,przelew
351,351,1,2021-06-15,przelew
352,352,1,2021-04-12,przelew
353,353,1,2021-10-28,przelew
354,354,1,2021-06-04,przelew
355,355,1,2021-06-11,przelew
356,356,1,2021-09-15,przelew
357,357,1,2021-02-09,przelew
358,358,1,2021-08-02,gotówka
359,359,1,2021-10-24,gotówka
360,360,1,2021-08-12,przelew
361,361,1,2021-09-20,gotówka
362,362,1,2021-09-20,przelew
363,363,1,2021-05-23,przelew
364,364,1,2021-02-12,przelew
365,365,1,2021-03-22,przelew
366,366,1,2021-08-04,gotówka
367,367,1,2021-09-06,przelew
368,368,1,2021-02-19,przelew
369,369,1,2021-02-28,gotówka
370,370,1,2021-10-07,przelew
371,371,1,2021-08-23,przelew
372,372,1,2021-09-19,przelew
373,373,0,NULL,przelew
374,374,1,2021-03-04,przelew
375,375,1,2021-05-24,przelew
376,376,1,2021-03-28,przelew
377,377,1,2021-06-18,przelew
378,378,1,2021-07-22,gotówka
379,379,1,2021-04-15,gotówka
380,380,1,2021-09-19,gotówka
381,381,1,2021-04-11,przelew
382,382,1,2021-03-02,przelew
383,383,1,2021-01-20,przelew
384,384,1,2021-08-22,gotówka
385,385,1,2021-09-29,przelew
386,386,1,2021-06-24,przelew
387,387,1,2021-09-07,przelew
388,388,1,2021-08-24,przelew
389,389,1,2021-10-10,przelew
390,390,1,2021-07-24,przelew
391,391,1,2021-09-01,przelew
392,392,1,2021-03-29,gotówka
393,393,1,2021-06-11,gotówka
394,394,1,2021-03-03,gotówka
395,395,1,2021-10-01,przelew
396,396,1,2021-01-06,przelew
397,397,1,2021-01-28,przelew
398,398,1,2021-03-18,przelew
399,399,1,2021-10-08,przelew
400,400,1,2021-04-29,przelew
401,401,1,2021-05-30,gotówka
402,402,1,2021-04-17,przelew
403,403,1,2021-07-18,gotówka
404,404,1,2021-01-26,przelew
405,405,1,2021-10-08,przelew
406,406,1,2021-05-17,przelew
407,407,0,NULL,przelew
408,408,1,2021-08-14,przelew
409,409,1,2021-06-01,przelew
410,410,0,NULL,przelew
411,411,1,2021-08-27,gotówka
412,412,1,2021-07-06,przelew
413,413,1,2021-10-05,przelew
414,414,1,2021-06-28,przelew
415,415,1,2021-10-16,przelew
416,416,1,2021-05-27,gotówka
417,417,1,2021-07-22,przelew
418,418,1,2021-05-26,przelew
419,419,1,2021-01-04,przelew
420,420,1,2021-06-23,przelew
421,421,1,2021-10-17,przelew
422,422,1,2021-10-06,przelew
423,423,1,2021-10-18,przelew
424,424,1,2021-02-26,przelew
425,425,1,2021-08-07,przelew
426,426,1,2021-01-03,przelew
427,427,1,2021-09-17,przelew
428,428,1,2021-08-01,przelew
429,429,1,2021-04-04,przelew
430,430,1,2021-08-27,przelew
431,431,1,2021-08-19,przelew
432,432,1,2021-06-15,gotówka
433,433,1,2021-03-31,przelew
434,434,1,2021-06-01,przelew
435,435,1,2021-04-18,przelew
436,436,1,2021-10-10,przelew
437,437,1,2021-02-18,gotówka
438,438,1,2021-03-12,gotówka
439,439,1,2021-03-04,przelew
440,440,1,2021-07-02,przelew
441,441,1,2021-03-09,przelew
442,442,1,2021-08-08,przelew
443,443,1,2021-06-24,przelew
444,444,1,2021-07-21,przelew
445,445,1,2021-05-06,gotówka
446,446,1,2021-09-30,przelew
447,447,1,2021-06-09,gotówka
448,448,1,2021-08-02,przelew
449,449,1,2021-05-24,gotówka
450,450,1,2021-10-11,przelew
451,451,1,2021-09-14,przelew
452,452,1,2021-10-13,przelew
453,453,1,2021-02-28,przelew
454,454,1,2021-03-25,gotówka
455,455,1,2021-09-18,przelew
456,456,1,2021-07-01,przelew
457,457,1,2021-06-08,gotówka
458,458,1,2021-07-13,gotówka
459,459,1,2021-10-19,gotówka
460,460,1,2021-09-25,gotówka
461,461,1,2021-09-10,przelew
462,462,1,2021-06-10,przelew
463,463,1,2021-09-11,gotówka
464,464,1,2021-09-27,gotówka
465,465,1,2021-10-05,przelew
466,466,1,2021-09-22,przelew
467,467,1,2021-09-26,przelew
468,468,1,2021-03-12,przelew
469,469,1,2021-08-10,przelew
470,470,1,2021-09-21,przelew
471,471,1,2021-04-28,gotówka
472,472,1,2021-08-03,gotówka
473,473,1,2021-04-01,przelew
474,474,1,2021-08-31,przelew
475,475,1,2021-03-07,przelew
476,476,1,2021-10-28,przelew
477,477,1,2021-10-16,gotówka
478,478,1,2021-10-20,przelew
479,479,1,2021-06-03,gotówka
480,480,1,2021-05-10,gotówka
481,481,1,2021-03-20,przelew
482,482,1,2021-10-11,przelew
483,483,1,2021-08-21,przelew
484,484,1,2021-07-13,gotówka
