id,zlecenie_id,data_wystawienia,kwota
1,1,2021-09-09,14.99
2,2,2021-01-15,14.99
3,3,2021-03-20,14.99
4,4,2021-10-30,14.99
5,5,2021-08-06,14.99
6,6,2021-04-21,59.96
7,7,2021-08-16,14.99
8,8,2021-06-07,14.99
9,9,2021-02-08,59.96
10,10,2021-02-27,14.99
11,11,2021-09-18,14.99
12,12,2021-04-13,14.99
13,13,2021-03-24,14.99
14,14,2021-07-24,29.98
15,15,2021-02-20,14.99
16,16,2021-08-25,14.99
17,17,2021-06-27,14.99
18,18,2021-04-15,14.99
19,19,2021-04-09,59.96
20,20,2021-10-24,59.96
21,21,2021-03-02,44.97
22,22,2021-10-01,14.99
23,23,2021-01-04,29.98
24,24,2021-03-07,14.99
25,25,2021-09-20,14.99
26,26,2021-01-08,44.97
27,27,2021-02-28,14.99
28,28,2021-06-11,44.97
29,29,2021-05-25,14.99
30,30,2021-04-15,59.96
31,31,2021-06-15,14.99
32,32,2021-08-07,14.99
33,33,2021-04-30,59.96
34,34,2021-06-13,59.96
35,35,2021-08-24,29.98
36,36,2021-02-23,14.99
37,37,2021-04-16,14.99
38,38,2021-08-14,14.99
39,39,2021-09-16,29.98
40,40,2021-07-17,14.99
41,41,2021-08-22,59.96
42,42,2021-09-06,14.99
43,43,2021-02-18,59.96
44,44,2021-01-27,14.99
45,45,2021-10-25,59.96
46,46,2021-09-04,14.99
47,47,2021-08-20,14.99
48,48,2021-10-09,14.99
49,49,2021-04-16,14.99
50,50,2021-05-27,44.97
51,51,2021-03-23,59.96
52,52,2021-08-23,14.99
53,53,2021-08-27,14.99
54,54,2021-01-27,14.99
55,55,2021-05-01,59.96
56,56,2021-10-09,14.99
57,57,2021-02-28,14.99
58,58,2021-06-07,14.99
59,59,2021-01-13,14.99
60,60,2021-02-08,14.99
61,61,2021-08-02,59.96
62,62,2021-05-09,14.99
63,63,2021-01-19,14.99
64,64,2021-08-19,44.97
65,65,2021-10-23,59.96
66,66,2021-04-07,14.99
67,67,2021-05-12,14.99
68,68,2021-09-23,14.99
69,69,2021-09-25,14.99
70,70,2021-05-28,14.99
71,71,2021-07-17,14.99
72,72,2021-10-30,14.99
73,73,2021-08-13,44.97
74,74,2021-09-30,14.99
75,75,2021-06-27,44.97
76,76,2021-08-06,14.99
77,77,2021-09-20,44.97
78,78,2021-03-14,14.99
79,79,2021-08-31,14.99
80,80,2021-07-16,14.99
81,81,2021-10-27,44.97
82,82,2021-08-24,59.96
83,83,2021-09-21,14.99
84,84,2021-03-04,44.97
85,85,2021-09-16,44.97
86,86,2021-09-19,14.99
87,87,2021-08-13,14.99
88,88,2021-04-07,29.98
89,89,2021-06-10,44.97
90,90,2021-09-06,14.99
91,91,2021-04-25,14.99
92,92,2021-10-13,14.99
93,93,2021-07-09,14.99
94,94,2021-04-02,14.99
95,95,2021-04-26,14.99
96,96,2021-05-30,14.99
97,97,2021-07-16,14.99
98,98,2021-04-23,14.99
99,99,2021-04-30,29.98
100,100,2021-08-28,14.99
101,101,2021-07-04,29.98
102,102,2021-10-02,14.99
103,103,2021-06-24,14.99
104,104,2021-02-18,14.99
105,105,2021-06-22,14.99
106,106,2021-07-08,59.96
107,107,2021-07-13,14.99
108,108,2021-05-31,14.99
109,109,2021-05-06,14.99
110,110,2021-02-22,14.99
111,111,2021-04-11,14.99
112,112,2021-06-10,29.98
113,113,2021-03-19,14.99
114,114,2021-05-14,14.99
115,115,2021-05-13,14.99
116,116,2021-01-14,14.99
117,117,2021-01-08,59.96
118,118,2021-02-23,14.99
119,119,2021-08-14,59.96
120,120,2021-05-02,44.97
121,121,2021-05-15,44.97
122,122,2021-07-30,44.97
123,123,2021-08-25,14.99
124,124,2021-06-11,59.96
125,125,2021-03-26,14.99
126,126,2021-08-29,14.99
127,127,2021-02-23,29.98
128,128,2021-02-25,44.97
129,129,2021-08-26,29.98
130,130,2021-10-30,14.99
131,131,2021-02-27,59.96
132,132,2021-03-08,29.98
133,133,2021-04-01,14.99
134,134,2021-04-27,14.99
135,135,2021-08-02,29.98
136,136,2021-08-24,14.99
137,137,2021-06-25,14.99
138,138,2021-08-07,14.99
139,139,2021-06-12,14.99
140,140,2021-04-18,44.97
141,141,2021-10-04,59.96
142,142,2021-08-23,14.99
143,143,2021-01-24,14.99
144,144,2021-08-02,14.99
145,145,2021-09-09,14.99
146,146,2021-07-18,14.99
147,147,2021-04-20,14.99
148,148,2021-03-27,14.99
149,149,2021-02-14,14.99
150,150,2021-06-06,14.99
151,151,2021-10-25,14.99
152,152,2021-06-01,59.96
153,153,2021-07-29,59.96
154,154,2021-05-26,14.99
155,155,2021-05-15,14.99
156,156,2021-04-21,14.99
157,157,2021-03-03,44.97
158,158,2021-08-25,14.99
159,159,2021-09-02,14.99
160,160,2021-04-13,44.97
161,161,2021-03-19,14.99
162,162,2021-06-15,14.99
163,163,2021-10-29,14.99
164,164,2021-09-19,14.99
165,165,2021-01-07,14.99
166,166,2021-08-01,29.98
167,167,2021-09-05,44.97
168,168,2021-06-18,14.99
169,169,2021-06-10,29.98
170,170,2021-01-03,14.99
171,171,2021-07-07,29.98
172,172,2021-07-08,44.97
173,173,2021-03-28,14.99
174,174,2021-02-05,14.99
175,175,2021-03-15,59.96
176,176,2021-07-16,59.96
177,177,2021-05-25,44.97
178,178,2021-02-15,14.99
179,179,2021-05-15,14.99
180,180,2021-10-26,14.99
181,181,2021-10-01,14.99
182,182,2021-01-09,14.99
183,183,2021-10-14,14.99
184,184,2021-09-23,14.99
185,185,2021-10-10,29.98
186,186,2021-02-01,14.99
187,187,2021-05-06,14.99
188,188,2021-02-21,14.99
189,189,2021-06-04,14.99
190,190,2021-06-17,44.97
191,191,2021-05-10,44.97
192,192,2021-08-10,29.98
193,193,2021-06-10,14.99
194,194,2021-01-27,14.99
195,195,2021-03-03,59.96
196,196,2021-10-20,44.97
197,197,2021-05-12,29.98
198,198,2021-09-03,14.99
199,199,2021-01-07,14.99
200,200,2021-06-09,14.99
201,201,2021-10-21,14.99
202,202,2021-01-02,14.99
203,203,2021-06-06,14.99
204,204,2021-01-08,29.98
205,205,2021-10-06,14.99
206,206,2021-05-22,14.99
207,207,2021-02-02,44.97
208,208,2021-10-15,14.99
209,209,2021-06-13,14.99
210,210,2021-05-25,44.97
211,211,2021-04-29,59.96
212,212,2021-04-18,29.98
213,213,2021-07-06,14.99
214,214,2021-03-14,14.99
215,215,2021-03-28,14.99
216,216,2021-06-07,14.99
217,217,2021-06-22,44.97
218,218,2021-02-06,14.99
219,219,2021-03-04,14.99
220,220,2021-06-06,59.96
221,221,2021-05-17,44.97
222,222,2021-10-19,14.99
223,223,2021-09-02,29.98
224,224,2021-05-02,14.99
225,225,2021-05-14,14.99
226,226,2021-05-25,59.96
227,227,2021-01-18,14.99
228,228,2021-06-10,14.99
229,229,2021-09-27,29.98
230,230,2021-08-15,14.99
231,231,2021-09-29,14.99
232,232,2021-04-02,29.98
233,233,2021-01-21,14.99
234,234,2021-09-23,29.98
235,235,2021-09-13,14.99
236,236,2021-06-19,44.97
237,237,2021-04-28,14.99
238,238,2021-09-14,14.99
239,239,2021-10-08,59.96
240,240,2021-04-15,14.99
241,241,2021-08-13,14.99
242,242,2021-02-26,44.97
243,243,2021-02-19,14.99
244,244,2021-10-30,29.98
245,245,2021-02-08,14.99
246,246,2021-05-06,59.96
247,247,2021-03-03,14.99
248,248,2021-07-21,14.99
249,249,2021-02-05,14.99
250,250,2021-04-22,14.99
251,251,2021-09-25,14.99
252,252,2021-06-06,14.99
253,253,2021-08-19,44.97
254,254,2021-07-31,14.99
255,255,2021-07-02,14.99
256,256,2021-04-03,14.99
257,257,2021-06-02,14.99
258,258,2021-10-12,14.99
259,259,2021-09-29,14.99
260,260,2021-06-24,14.99
261,261,2021-03-14,14.99
262,262,2021-04-18,29.98
263,263,2021-04-22,14.99
264,264,2021-07-08,14.99
265,265,2021-08-21,14.99
266,266,2021-05-22,14.99
267,267,2021-06-05,14.99
268,268,2021-06-20,14.99
269,269,2021-03-06,59.96
270,270,2021-02-16,44.97
271,271,2021-02-17,14.99
272,272,2021-02-15,14.99
273,273,2021-01-18,29.98
274,274,2021-10-11,59.96
275,275,2021-10-15,59.96
276,276,2021-05-03,14.99
277,277,2021-06-03,44.97
278,278,2021-04-02,14.99
279,279,2021-03-23,14.99
280,280,2021-04-11,14.99
281,281,2021-07-07,44.97
282,282,2021-09-28,14.99
283,283,2021-04-27,14.99
284,284,2021-07-07,44.97
285,285,2021-06-12,29.98
286,286,2021-07-12,59.96
287,287,2021-10-29,14.99
288,288,2021-01-29,14.99
289,289,2021-10-13,14.99
290,290,2021-02-02,14.99
291,291,2021-06-07,14.99
292,292,2021-09-28,14.99
293,293,2021-07-27,14.99
294,294,2021-05-29,29.98
295,295,2021-09-01,14.99
296,296,2021-10-21,14.99
297,297,2021-10-04,14.99
298,298,2021-10-18,14.99
299,299,2021-01-05,14.99
300,300,2021-05-21,14.99
301,301,2021-07-12,14.99
302,302,2021-05-05,14.99
303,303,2021-07-06,44.97
304,304,2021-03-20,14.99
305,305,2021-01-12,44.97
306,306,2021-03-18,44.97
307,307,2021-10-18,14.99
308,308,2021-10-23,14.99
309,309,2021-01-19,29.98
310,310,2021-10-25,14.99
311,311,2021-02-23,14.99
312,312,2021-10-25,14.99
313,313,2021-02-04,14.99
314,314,2021-02-02,14.99
315,315,2021-01-28,14.99
316,316,2021-06-30,14.99
317,317,2021-04-22,44.97
318,318,2021-08-23,14.99
319,319,2021-08-19,14.99
320,320,2021-03-09,14.99
321,321,2021-07-14,14.99
322,322,2021-01-29,14.99
323,323,2021-06-04,59.96
324,324,2021-09-04,14.99
325,325,2021-10-27,14.99
326,326,2021-06-26,14.99
327,327,2021-02-26,29.98
328,328,2021-06-27,44.97
329,329,2021-05-12,44.97
330,330,2021-06-26,14.99
331,331,2021-06-20,14.99
332,332,2021-09-22,14.99
333,333,2021-10-03,29.98
334,334,2021-10-03,14.99
335,335,2021-10-25,14.99
336,336,2021-07-02,14.99
337,337,2021-05-22,14.99
338,338,2021-07-23,14.99
339,339,2021-06-30,14.99
340,340,2021-01-14,44.97
341,341,2021-04-30,14.99
342,342,2021-03-17,14.99
343,343,2021-02-14,14.99
344,344,2021-10-25,29.98
345,345,2021-01-26,59.96
346,346,2021-10-23,44.97
347,347,2021-10-28,14.99
348,348,2021-05-18,14.99
349,349,2021-05-19,14.99
350,350,2021-06-21,14.99
351,351,2021-08-13,14.99
352,352,2021-05-11,44.97
353,353,2021-10-26,14.99
354,354,2021-04-02,59.96
355,355,2021-03-30,14.99
356,356,2021-08-10,44.97
357,357,2021-07-27,14.99
358,358,2021-08-28,14.99
359,359,2021-06-19,44.97
360,360,2021-08-12,59.96
361,361,2021-05-19,44.97
362,362,2021-01-04,14.99
363,363,2021-03-14,14.99
364,364,2021-09-16,14.99
365,365,2021-01-17,14.99
366,366,2021-10-11,14.99
367,367,2021-02-08,29.98
368,368,2021-06-17,44.97
369,369,2021-08-31,14.99
370,370,2021-02-08,14.99
371,371,2021-08-22,14.99
372,372,2021-06-05,14.99
373,373,2021-02-27,14.99
374,374,2021-10-11,59.96
375,375,2021-04-19,14.99
376,376,2021-07-09,29.98
377,377,2021-08-29,14.99
378,378,2021-10-08,14.99
379,379,2021-08-18,59.96
380,380,2021-01-24,29.98
381,381,2021-05-21,14.99
382,382,2021-04-23,29.98
383,383,2021-08-24,44.97
384,384,2021-05-07,14.99
385,385,2021-06-22,59.96
386,386,2021-10-20,59.96
387,387,2021-04-26,14.99
388,388,2021-01-18,14.99
389,389,2021-02-06,14.99
390,390,2021-09-09,44.97
391,391,2021-02-26,14.99
392,392,2021-05-10,14.99
393,393,2021-01-23,14.99
394,394,2021-09-09,14.99
395,395,2021-04-19,44.97
396,396,2021-02-20,44.97
397,397,2021-06-10,14.99
398,398,2021-05-21,14.99
399,399,2021-01-17,29.98
400,400,2021-07-11,14.99
401,401,2021-07-13,59.96
402,402,2021-10-27,14.99
403,403,2021-10-04,29.98
404,404,2021-08-15,29.98
405,405,2021-04-26,14.99
406,406,2021-09-29,44.97
407,407,2021-10-21,59.96
408,408,2021-08-14,14.99
409,409,2021-08-27,29.98
410,410,2021-08-15,14.99
411,411,2021-10-17,59.96
412,412,2021-08-28,14.99
413,413,2021-09-13,14.99
414,414,2021-07-26,14.99
415,415,2021-05-30,14.99
416,416,2021-08-13,14.99
417,417,2021-09-08,59.96
418,418,2021-10-11,14.99
419,419,2021-03-18,44.97
420,420,2021-01-09,59.96
421,421,2021-03-14,59.96
422,422,2021-06-08,14.99
423,423,2021-10-21,14.99
424,424,2021-05-07,44.97
425,425,2021-10-19,29.98
426,426,2021-02-13,14.99
427,427,2021-09-14,14.99
428,428,2021-01-10,29.98
429,429,2021-10-20,14.99
430,430,2021-07-28,44.97
431,431,2021-05-25,14.99
432,432,2021-02-09,14.99
433,433,2021-03-05,14.99
434,434,2021-05-14,44.97
435,435,2021-08-25,14.99
436,436,2021-08-22,29.98
437,437,2021-05-25,14.99
438,438,2021-02-13,14.99
439,439,2021-07-08,14.99
440,440,2021-10-17,59.96
441,441,2021-05-28,14.99
442,442,2021-01-12,14.99
443,443,2021-10-17,29.98
444,444,2021-10-24,59.96
445,445,2021-06-09,59.96
446,446,2021-06-28,44.97
447,447,2021-02-01,14.99
448,448,2021-03-05,14.99
449,449,2021-09-22,44.97
450,450,2021-01-15,14.99
451,451,2021-10-13,29.98
452,452,2021-02-08,14.99
453,453,2021-01-12,14.99
454,454,2021-01-13,44.97
455,455,2021-01-28,29.98
456,456,2021-01-12,14.99
457,457,2021-01-05,14.99
458,458,2021-07-10,44.97
459,459,2021-01-24,44.97
460,460,2021-02-12,14.99
461,461,2021-02-13,29.98
462,462,2021-06-30,14.99
463,463,2021-05-16,14.99
